"id","product_id","created_at","pack","asin","fin_model_name","image_url","rating","pack_master","product_master"
68,10,"2024-01-14 20:19:21.705267","Gold Sheet Mask - 10 pack","B0CFYMS147","Gold M 10P",NULL,NULL,False,False
69,10,"2024-01-14 20:19:21.710569","Gold Sheet Mask - 16 pack","B076VRDC33","Gold Sheet Mask - 16 pack",NULL,NULL,True,False
70,10,"2024-01-14 20:19:21.715119","Gold Sheet Mask - 16 pack","B08GM8T4NM","Gold Sheet Mask - 16 pack",NULL,NULL,False,False
71,10,"2024-01-14 20:19:21.719216","Gold Sheet Mask - 16 pack","B07C2YW3HR","Gold Sheet Mask - 16 pack",NULL,NULL,False,False
72,10,"2024-01-14 20:19:21.724275","Gold Sheet Mask - 16 pack","B079Y8CSS6","Gold Sheet Mask - 16 pack",NULL,NULL,False,False
73,10,"2024-01-14 20:19:21.728663","Gold Sheet Mask - 16 pack","B08KQ893BL","Gold Sheet Mask - 16 pack",NULL,NULL,False,False
74,10,"2024-01-14 20:19:21.733165","Gold Sheet Mask - 15 pack","B0CFYDSK7Q","Gold M 15P",NULL,NULL,True,False
75,11,"2024-01-14 20:19:21.740133","Shower Stimmers","B0CGRXK1B1","Shower Steamers",NULL,NULL,True,True
76,11,"2024-01-14 20:19:21.746901","Shower Stimmers","B0CJYFX7P4","Shower Steamers",NULL,NULL,False,False
77,11,"2024-01-14 20:19:21.752061","Shower Stimmers","B0CJYF81V6","Shower Steamers",NULL,NULL,False,False
78,11,"2024-01-14 20:19:21.758804","Shower Stimmers","B0CJYFR5J4","Shower Steamers",NULL,NULL,False,False
