event_id,date,amount,variant_id,created_at,number_of_items,uniq_number,version
6,2027-02-01 00:00:00,65888,157,2024-01-09 13:50:49.614053,440,157 - Февраль 2027,1
6,2027-03-01 00:00:00,98877,157,2024-01-09 13:50:49.614053,660,157 - Март 2027,1
6,2027-04-01 00:00:00,82383,157,2024-01-09 13:50:49.614053,550,157 - Апрель 2027,1
6,2027-05-01 00:00:00,82383,157,2024-01-09 13:50:49.614053,550,157 - Май 2027,1
6,2027-06-01 00:00:00,82383,157,2024-01-09 13:50:49.614053,550,157 - Июнь 2027,1
6,2027-07-01 00:00:00,98877,157,2024-01-09 13:50:49.614053,660,157 - Июль 2027,1
6,2023-02-01 00:00:00,0,231,2024-01-09 13:52:01.122225,0,231 - Февраль 2023,1
6,2023-03-01 00:00:00,0,231,2024-01-09 13:52:01.122225,0,231 - Март 2023,1
6,2023-04-01 00:00:00,0,231,2024-01-09 13:52:01.122225,0,231 - Апрель 2023,1
6,2023-05-01 00:00:00,0,231,2024-01-09 13:52:01.122225,0,231 - Май 2023,1
6,2023-06-01 00:00:00,0,231,2024-01-09 13:52:01.122225,0,231 - Июнь 2023,1
6,2023-07-01 00:00:00,0,231,2024-01-09 13:52:01.122225,0,231 - Июль 2023,1
6,2023-08-01 00:00:00,0,231,2024-01-09 13:52:01.122225,0,231 - Август 2023,1
6,2023-09-01 00:00:00,0,231,2024-01-09 13:52:01.122225,0,231 - Сентябрь 2023,1
6,2023-10-01 00:00:00,0,231,2024-01-09 13:52:01.122225,0,231 - Октябрь 2023,1
6,2023-11-01 00:00:00,7395,231,2024-01-09 13:52:01.122225,289,231 - Ноябрь 2023,1
6,2023-12-01 00:00:00,75295,231,2024-01-09 13:52:01.122225,3000,231 - Декабрь 2023,1
6,2024-01-01 00:00:00,15400,231,2024-01-09 13:52:01.122225,550,231 - Январь 2024,1
6,2024-02-01 00:00:00,20000,231,2024-01-09 13:52:01.122225,800,231 - Февраль 2024,1
6,2024-03-01 00:00:00,22500,231,2024-01-09 13:52:01.122225,900,231 - Март 2024,1
6,2024-04-01 00:00:00,17500,231,2024-01-09 13:52:01.122225,700,231 - Апрель 2024,1
6,2024-05-01 00:00:00,17500,231,2024-01-09 13:52:01.122225,1400,231 - Май 2024,1
6,2024-06-01 00:00:00,20000,231,2024-01-09 13:52:01.122225,800,231 - Июнь 2024,1
6,2024-07-01 00:00:00,20000,231,2024-01-09 13:52:01.122225,800,231 - Июль 2024,1
6,2024-08-01 00:00:00,22045,231,2024-01-09 13:52:01.122225,885,231 - Август 2024,1
6,2024-09-01 00:00:00,22045,231,2024-01-09 13:52:01.122225,885,231 - Сентябрь 2024,1
6,2024-10-01 00:00:00,22045,231,2024-01-09 13:52:01.122225,885,231 - Октябрь 2024,1
6,2024-11-01 00:00:00,37420,231,2024-01-09 13:52:01.122225,1500,231 - Ноябрь 2024,1
6,2024-12-01 00:00:00,49920,231,2024-01-09 13:52:01.122225,2000,231 - Декабрь 2024,1
6,2025-01-01 00:00:00,9920,231,2024-01-09 13:52:01.122225,400,231 - Январь 2025,1
6,2025-02-01 00:00:00,9920,231,2024-01-09 13:52:01.122225,400,231 - Февраль 2025,1
6,2025-03-01 00:00:00,14920,231,2024-01-09 13:52:01.122225,600,231 - Март 2025,1
6,2025-04-01 00:00:00,12420,231,2024-01-09 13:52:01.122225,500,231 - Апрель 2025,1
6,2025-05-01 00:00:00,12420,231,2024-01-09 13:52:01.122225,500,231 - Май 2025,1
6,2025-06-01 00:00:00,12420,231,2024-01-09 13:52:01.122225,500,231 - Июнь 2025,1
6,2025-07-01 00:00:00,14920,231,2024-01-09 13:52:01.122225,600,231 - Июль 2025,1
6,2025-08-01 00:00:00,24920,231,2024-01-09 13:52:01.122225,1000,231 - Август 2025,1
6,2025-09-01 00:00:00,24920,231,2024-01-09 13:52:01.122225,1000,231 - Сентябрь 2025,1
6,2025-10-01 00:00:00,24920,231,2024-01-09 13:52:01.122225,1000,231 - Октябрь 2025,1
6,2025-11-01 00:00:00,56170,231,2024-01-09 13:52:01.122225,2250,231 - Ноябрь 2025,1
6,2025-12-01 00:00:00,74920,231,2024-01-09 13:52:01.122225,3000,231 - Декабрь 2025,1
6,2026-01-01 00:00:00,14920,231,2024-01-09 13:52:01.122225,600,231 - Январь 2026,1
6,2026-02-01 00:00:00,14920,231,2024-01-09 13:52:01.122225,600,231 - Февраль 2026,1
6,2026-03-01 00:00:00,22420,231,2024-01-09 13:52:01.122225,900,231 - Март 2026,1
6,2026-04-01 00:00:00,18670,231,2024-01-09 13:52:01.122225,750,231 - Апрель 2026,1
6,2026-05-01 00:00:00,18670,231,2024-01-09 13:52:01.122225,750,231 - Май 2026,1
6,2026-06-01 00:00:00,18670,231,2024-01-09 13:52:01.122225,750,231 - Июнь 2026,1
6,2026-07-01 00:00:00,22420,231,2024-01-09 13:52:01.122225,900,231 - Июль 2026,1
6,2026-08-01 00:00:00,37420,231,2024-01-09 13:52:01.122225,1500,231 - Август 2026,1
6,2026-09-01 00:00:00,37420,231,2024-01-09 13:52:01.122225,1500,231 - Сентябрь 2026,1
6,2026-10-01 00:00:00,37420,231,2024-01-09 13:52:01.122225,1500,231 - Октябрь 2026,1
6,2026-11-01 00:00:00,63670,231,2024-01-09 13:52:01.122225,2550,231 - Ноябрь 2026,1
6,2026-12-01 00:00:00,84920,231,2024-01-09 13:52:01.122225,3400,231 - Декабрь 2026,1
6,2027-01-01 00:00:00,16920,231,2024-01-09 13:52:01.122225,680,231 - Январь 2027,1
6,2027-02-01 00:00:00,16920,231,2024-01-09 13:52:01.122225,680,231 - Февраль 2027,1
6,2027-03-01 00:00:00,25420,231,2024-01-09 13:52:01.122225,1020,231 - Март 2027,1
6,2027-04-01 00:00:00,21170,231,2024-01-09 13:52:01.122225,850,231 - Апрель 2027,1
6,2027-05-01 00:00:00,21170,231,2024-01-09 13:52:01.122225,850,231 - Май 2027,1
6,2027-06-01 00:00:00,21170,231,2024-01-09 13:52:01.122225,850,231 - Июнь 2027,1
6,2027-07-01 00:00:00,25420,231,2024-01-09 13:52:01.122225,1020,231 - Июль 2027,1
6,2027-08-01 00:00:00,42420,231,2024-01-09 13:52:01.122225,1700,231 - Август 2027,1
6,2027-09-01 00:00:00,42420,231,2024-01-09 13:52:01.122225,1700,231 - Сентябрь 2027,1
6,2027-10-01 00:00:00,42420,231,2024-01-09 13:52:01.122225,1700,231 - Октябрь 2027,1
6,2027-11-01 00:00:00,67420,231,2024-01-09 13:52:01.122225,2700,231 - Ноябрь 2027,1
6,2027-12-01 00:00:00,89920,231,2024-01-09 13:52:01.122225,3600,231 - Декабрь 2027,1
6,2028-01-01 00:00:00,17920,231,2024-01-09 13:52:01.122225,720,231 - Январь 2028,1
6,2022-08-01 00:00:00,0,189,2024-01-09 13:58:07.460119,0,189 - Август 2022,1
6,2022-09-01 00:00:00,0,189,2024-01-09 13:58:07.460119,0,189 - Сентябрь 2022,1
6,2022-10-01 00:00:00,0,189,2024-01-09 13:58:07.460119,0,189 - Октябрь 2022,1
6,2022-11-01 00:00:00,0,189,2024-01-09 13:58:07.460119,0,189 - Ноябрь 2022,1
6,2022-12-01 00:00:00,0,189,2024-01-09 13:58:07.460119,0,189 - Декабрь 2022,1
6,2023-01-01 00:00:00,0,189,2024-01-09 13:58:07.460119,0,189 - Январь 2023,1
6,2023-02-01 00:00:00,0,189,2024-01-09 13:58:07.460119,0,189 - Февраль 2023,1
6,2023-03-01 00:00:00,0,189,2024-01-09 13:58:07.460119,0,189 - Март 2023,1
6,2023-04-01 00:00:00,0,189,2024-01-09 13:58:07.460119,0,189 - Апрель 2023,1
6,2023-05-01 00:00:00,0,189,2024-01-09 13:58:07.460119,0,189 - Май 2023,1
6,2023-06-01 00:00:00,0,189,2024-01-09 13:58:07.460119,0,189 - Июнь 2023,1
6,2023-07-01 00:00:00,0,189,2024-01-09 13:58:07.460119,150,189 - Июль 2023,1
6,2023-08-01 00:00:00,737,189,2024-01-09 13:58:07.460119,76,189 - Август 2023,1
6,2023-09-01 00:00:00,1719,189,2024-01-09 13:58:07.460119,135,189 - Сентябрь 2023,1
6,2023-10-01 00:00:00,788,189,2024-01-09 13:58:07.460119,60,189 - Октябрь 2023,1
